raj2000,dej2000,objid,fuvmag,e_fuvmag,nuvmag,e_nuvmag,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,target_separation (deg)
285.718544,48.506096,6378726692534355547,,,21.4159,0.2845,Kepler-230,285.71856921306,48.50587293762,1.3186,-0.153,-16.047,-2.3,2.23686996926265E-04
285.790669,48.683402,6382843275879910013,,,20.2454,0.1225,Kepler-592,285.79074092544,48.68328166018000,0.85,-0.224,-8.956,0.0,1.29370209925529E-04
285.801982,44.873732,6371197332470367606,,,21.8056,0.4978,Kepler-1273,285.80322002334,44.87343347848,0.8548,-3.029,-8.162,12.0579,9.26740379688699E-04
285.888286,47.880576,6381611805676930403,,,18.224,0.0397,Kepler-529,285.8883645249700,47.88037811105,0.422,6.575,-3.153,-10.42,2.04777066971969E-04
285.888286,47.880576,6385728458817803357,,,18.224,0.0397,Kepler-529,285.8883645249700,47.88037811105,0.422,6.575,-3.153,-10.42,2.04777066971969E-04
285.888286,47.880576,6385376614021071907,,,18.224,0.0397,Kepler-529,285.8883645249700,47.88037811105,0.422,6.575,-3.153,-10.42,2.04777066971969E-04
285.899334,48.307508,6377847088600844174,,,21.4807,0.2561,Kepler-1138,285.89924873343,48.30729159626,1.0858,10.461,-1.523,0.0,2.2371191539158E-04
285.967945,45.739692,6382491497659369278,,,20.7606,0.3188,Kepler-1748,285.96789003195,45.73905764669,0.8684,1.126,4.932,-47.23,6.35512296218853E-04
286.002887,44.75669,6380380368759951066,,,19.8511,0.1165,Kepler-1135,286.0029669945,44.756587227760000,0.7325,3.851,-7.468,-80.8078,1.17426032021006E-04
286.005296,45.480565,6385165474504639199,,,20.7944,0.2011,Kepler-611,286.00495009418800,45.48039104680860,0.7111,-6.187,-20.153,-36.8575,2.98465730892419E-04
286.015777,45.008006,6380274746926302213,,,21.7204,0.3512,Kepler-802,286.01585357787,45.00776633396000,1.3046,-8.829,-5.805,-5.2296,2.45705288246469E-04
286.024059,48.43192,6380908188028372689,,,20.6425,0.1581,Kepler-591,286.02404321318,48.43177360463,1.2474,1.349,-10.363,-31.65,1.46769629419279E-04
286.026175,44.782961,6381400769237616361,,,19.225,0.0827,Kepler-384,286.0260941237,44.78287235552,1.0799,2.826,-3.551,-36.341,1.05608305185671E-04
286.026175,44.782961,6381576685731448699,,,19.225,0.0827,Kepler-384,286.0260941237,44.78287235552,1.0799,2.826,-3.551,-36.341,1.05608305185671E-04
286.047076,45.053516,6381576686805190590,,,20.2741,0.15,Kepler-177,286.04711924431700,45.053208015635,0.6723,4.095,-0.988,-114.462,3.09495820441729E-04
286.047076,45.053516,6382526669144462451,,,20.2741,0.15,Kepler-177,286.04711924431700,45.053208015635,0.6723,4.095,-0.988,-114.462,3.09495820441729E-04
