obj_id,ra,dec,g_mean_psf_mag,g_mean_psf_mag_error,r_mean_psf_mag,r_mean_psf_mag_error,i_mean_psf_mag,i_mean_psf_mag_error,z_mean_psf_mag,z_mean_psf_mag_error,y_mean_psf_mag,y_mean_psf_mag_error,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,target_separation (deg)
155260003621210904,0.36206144,39.3835,10.8098001480103,0.00779200019314885,11.0312004089355,0.0339520014822483,10.0604000091553,0.0460419990122318,12.3882999420166,0.00100000004749745,10.8454999923706,0.105524003505707,KELT-1,0.36215341997,39.38382894624,3.6836,-9.696,-7.823,-11.87,3.37376028434558E-04
94820041462448620,4.146339,-10.976418,12.3590002059937,,12.1040000915527,,12.0270004272461,,12.0120000839233,,11.9996995925903,0.00104500004090369,WASP-158,4.1463391012,-10.97641539124,1.851,1.769,-1.68,25.0,2.15610340258354E-06
179720045235990294,4.5235634,59.76632,13.3865003585815,0.00100000004749745,,,,,,,12.6788997650146,0.00141200004145503,TOI-6016,4.52402618116,59.76620621284000,2.7492,-7.728,-1.837,-48.52,2.59010730334554E-04
96040047724782362,4.772494,-9.965072,,,,,14.4114999771118,0.125218003988266,,,,,TOI-260,4.77317661843625,-9.964852408527780,49.4757,-36.325,-301.491,-11.121,7.07323576502026E-04
146390051669990139,5.166924,31.991234,,,,,,,16.9680995941162,0.00892600044608116,16.4421997070313,0.00642499979585409,WASP-1,5.16697740369,31.98998744711,2.6108,-4.692,-3.32,-13.424,0.0012472012946619200
125200065293224209,6.529372,14.33644,13.1000003814697,,12.6160001754761,,12.4060001373291,,12.2980003356934,,12.1967000961304,0.00772299990057945,TOI-5322,6.5293857275,14.336400499160600,2.0913,-10.905,6.457,-2.1866,4.16957131256474E-05
103950088056044537,8.805763,-3.3716526,17.7198009490967,0.00812300015240908,16.5655994415283,0.00366599997505546,14.9478998184204,0.00836300011724234,14.2082996368408,0.00368599989451468,13.8747997283936,0.00494599994271994,TOI-2406,8.805079629734580,-3.370635564492780,17.9847,226.011,-336.242,-29.5,0.0012247779352476000
169540094585758196,9.458552,51.28957,,,12.931300163269,0.00299099995754659,,,,,,,WASP-93,9.45879240704,51.28876688159,2.6882,-6.994,2.571,-0.38,8.16885981764471E-04
149650095166894402,9.516699,34.711456,13.1960000991821,,12.5640001296997,,12.3100004196167,,12.1800003051758,,12.125599861145,0.0106269996613264,HAT-P-19,9.51672320809,34.7115426496,4.9567,-26.745,-32.568,-19.61,8.86442224289122E-05
116730098218042901,9.821759,7.2769985,15.1935997009277,0.00333300000056624,13.9945001602173,0.00138399994466454,13.3360004425049,,12.9320001602173,,12.5967998504639,0.00552800018340349,K2-149,9.821887215770000,7.27709364569,8.0704,-31.166,-23.175,0.0,1.58644207342944E-04
