obj_id,ra,dec,g_mean_psf_mag,g_mean_psf_mag_error,r_mean_psf_mag,r_mean_psf_mag_error,i_mean_psf_mag,i_mean_psf_mag_error,z_mean_psf_mag,z_mean_psf_mag_error,y_mean_psf_mag,y_mean_psf_mag_error,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,target_separation (deg)
155260003621210904,0.36206144,39.3835,10.8098001480103,0.00779200019314885,11.0312004089355,0.0339520014822483,10.0604000091553,0.0460419990122318,12.3882999420166,0.00100000004749745,10.8454999923706,0.105524003505707,KELT-1,0.36215341997,39.38382894624,3.6836,-9.696,-7.823,-11.87,3.37376028434558E-04
93670039029776244,3.903074,-11.936887,19.4857006072998,0.0260129999369383,,,,,,,,,WASP-44,3.9032061042900000,-11.93813467611,2.7644,15.272,-30.159,0.0,0.001254561468225550
93670039031494661,3.9032876,-11.9382515,13.2910003662109,,12.8870000839233,,12.7200002670288,,12.6450004577637,,12.6043996810913,0.00503800017759204,WASP-44,3.9032061042900000,-11.93813467611,2.7644,15.272,-30.159,0.0,1.41462964704909E-04
94820041462448620,4.146339,-10.976418,12.3590002059937,,12.1040000915527,,12.0270004272461,,12.0120000839233,,11.9996995925903,0.00104500004090369,WASP-158,4.1463391012,-10.97641539124,1.851,1.769,-1.68,25.0,2.15610340258354E-06
179720045235990294,4.5235634,59.76632,13.3865003585815,0.00100000004749745,,,,,,,12.6788997650146,0.00141200004145503,TOI-6016,4.52402618116,59.76620621284000,2.7492,-7.728,-1.837,-48.52,2.59010730334554E-04
96040047724782362,4.772494,-9.965072,,,,,14.4114999771118,0.125218003988266,,,,,TOI-260,4.77317661843625,-9.964852408527780,49.4757,-36.325,-301.491,-11.121,7.07323576502026E-04
79270051599347951,5.1599174,-23.935232,,,15.4139003753662,0.00262499996460974,12.9569997787476,0.00100000004749745,15.8867998123169,0.00318200001493096,,,WASP-20,5.16056268042,-23.93572300256,3.4699,1.352,-14.739,1.251,7.67348068951514E-04
79270051600517604,5.160147,-23.935625,13.4708995819092,0.00100000004749745,11.9582996368408,0.00100000004749745,10.836199760437,0.0694969967007637,11.4305000305176,0.0611610002815723,,,WASP-20,5.16056268042,-23.93572300256,3.4699,1.352,-14.739,1.251,3.92181454636402E-04
146390051669990139,5.166924,31.991234,,,,,,,16.9680995941162,0.00892600044608116,16.4421997070313,0.00642499979585409,WASP-1,5.16697740369,31.98998744711,2.6108,-4.692,-3.32,-13.424,0.0012472012946619200
125200065293224209,6.529372,14.33644,13.1000003814697,,12.6160001754761,,12.4060001373291,,12.2980003356934,,12.1967000961304,0.00772299990057945,TOI-5322,6.5293857275,14.336400499160600,2.0913,-10.905,6.457,-2.1866,4.16957131256474E-05
103950088056044537,8.805763,-3.3716526,17.7198009490967,0.00812300015240908,16.5655994415283,0.00366599997505546,14.9478998184204,0.00836300011724234,14.2082996368408,0.00368599989451468,13.8747997283936,0.00494599994271994,TOI-2406,8.805079629734580,-3.370635564492780,17.9847,226.011,-336.242,-29.5,0.0012247779352476000
169540094585758196,9.458552,51.28957,,,12.931300163269,0.00299099995754659,,,,,,,WASP-93,9.45879240704,51.28876688159,2.6882,-6.994,2.571,-0.38,8.16885981764471E-04
149650095166894402,9.516699,34.711456,13.1960000991821,,12.5640001296997,,12.3100004196167,,12.1800003051758,,12.125599861145,0.0106269996613264,HAT-P-19,9.51672320809,34.7115426496,4.9567,-26.745,-32.568,-19.61,8.86442224289122E-05
116730098218042901,9.821759,7.2769985,15.1935997009277,0.00333300000056624,13.9945001602173,0.00138399994466454,13.3360004425049,,12.9320001602173,,12.5967998504639,0.00552800018340349,K2-149,9.821887215770000,7.27709364569,8.0704,-31.166,-23.175,0.0,1.58644207342944E-04
181450100869627834,10.086958,61.214268,,,,,,,,,17.6383991241455,0.0261390004307032,TOI-1470,10.088708631224200,61.213626750722200,19.3277,48.576,-55.734,3.54,0.0010590369262309700
181450100869627834,10.086958,61.214268,,,,,,,,,17.6383991241455,0.0261390004307032,TOI-1470,10.088708631224200,61.213626750722200,19.3277,48.576,-55.734,3.54,0.0010590369262309700
181450100889826889,10.08913,61.213394,14.0682001113892,0.00469199987128377,12.8920001983643,,12.1920003890991,,11.7040004730225,,11.4860000610352,,TOI-1470,10.088708631224200,61.213626750722200,19.3277,48.576,-55.734,3.54,3.08782503298896E-04
181450100889826889,10.08913,61.213394,14.0682001113892,0.00469199987128377,12.8920001983643,,12.1920003890991,,11.7040004730225,,11.4860000610352,,TOI-1470,10.088708631224200,61.213626750722200,19.3277,48.576,-55.734,3.54,3.08782503298896E-04
89670112466805696,11.246731,-15.270576,18.3672008514404,0.0083389999344945,17.1145000457764,0.00320699997246265,15.9869003295898,0.00443099997937679,15.474100112915,0.00350599992088974,15.2137002944946,0.00468599982559681,LHS 1140,11.247212140629600,-15.271539677775000,66.8287,318.152,-596.623,-13.329,0.0010701428846679400
89670112466805696,11.246731,-15.270576,18.3672008514404,0.0083389999344945,17.1145000457764,0.00320699997246265,15.9869003295898,0.00443099997937679,15.474100112915,0.00350599992088974,15.2137002944946,0.00468599982559681,LHS 1140,11.247212140629600,-15.271539677775000,66.8287,318.152,-596.623,-13.329,0.0010701428846679400
