sdss_id,in_boss,in_apogee,in_astra,has_been_observed,release,obs,mjd,ra_sdss_id,dec_sdss_id,catalogid21,catalogid25,distance
67680981,FALSE,FALSE,TRUE,TRUE,dr17,apo,56931,292.85571853993200,46.39118878584130,4259925447,27021597819349780,null
67681300,FALSE,FALSE,TRUE,TRUE,dr17,apo,56931,292.8698343824730,46.7418679553698,4260322794,27021597819745161,null
67680583,FALSE,FALSE,TRUE,TRUE,dr17,apo,56931,292.8722509132000,46.098724502716600,4259919871,27021599488936148,null
66692243,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,292.87293008863400,41.064169714397400,5374406631,27021598930648371,null
67652224,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,292.8733695924820,42.96615915790390,4257914771,27021597817345381,null
66692345,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,292.8852275849150,41.27916671264710,5374422101,27021598930663799,null
66674851,FALSE,FALSE,TRUE,TRUE,dr17,apo,56932,292.90162364511800,38.29703041123910,5372123030,27021598928370902,null
66692102,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,292.91311226950600,41.06098019863350,5374419122,27021598930660833,null
66675538,FALSE,FALSE,TRUE,TRUE,dr17,apo,56932,292.9227932680310,38.47721600109660,5372158242,27021598928406023,null
67652199,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,292.9582744038570,42.854890568891700,4257910565,27021597817341184,null
67652805,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,292.96550623094800,43.34634401311490,4257934505,27021597817365051,null
66692092,FALSE,FALSE,TRUE,TRUE,dr17,apo,56440,292.9712816822030,41.03574869560690,5374419373,27021598930661084,null
67677814,FALSE,FALSE,TRUE,TRUE,dr17,apo,56931,293.0181856847370,45.91470622591410,4258332622,27021597817761836,null
67680904,FALSE,FALSE,TRUE,TRUE,dr17,apo,56931,293.0377326733930,46.277522369748000,4259922846,27021597819347190,null
67660650,FALSE,FALSE,TRUE,TRUE,dr17,apo,56931,293.0571972015790,45.55112552186400,4258321780,27021597817751033,null
67660362,FALSE,FALSE,TRUE,TRUE,dr17,apo,56931,293.05797891180300,45.248745841892700,4258279428,27021597817708850,null
67126410,FALSE,FALSE,TRUE,TRUE,dr17,apo,56368,293.07946141371500,43.07367673357680,4257923842,27021599488815609,null
67122749,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,293.0925272355930,41.35550886567320,5374446631,27021598930688237,null
67126068,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,293.0940404908100,42.896446014560700,4257892527,27021597817323187,null
66692054,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,293.1234499269860,40.93480138893500,5374413163,27021598930654888,null
67677710,FALSE,FALSE,TRUE,TRUE,dr17,apo,56931,293.1311830075060,45.66341133558310,4258322614,27021597817751866,null
67682304,FALSE,FALSE,TRUE,TRUE,dr17,apo,56931,293.1444007875300,46.66621430726010,4260315445,27021597819737851,null
67122965,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,293.1507636017620,41.729150466981200,5374532061,27021598930773377,null
67660298,FALSE,FALSE,TRUE,TRUE,dr17,apo,56931,293.17132295509300,45.065592831773500,4258258744,27021597817688234,null
67122917,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,293.1802896091380,41.61774019118520,5374457303,27021598930698876,null
67126418,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,293.20056634795400,43.050037821298400,4257923332,27021597817353918,null
67678246,FALSE,FALSE,TRUE,TRUE,dr17,apo,56931,293.2135162715030,46.17514671243390,4258345879,27021597817775036,null
67125993,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,293.21735492552500,42.720581094053400,4257887614,27021597817318292,null
67660293,FALSE,FALSE,TRUE,TRUE,dr17,apo,56931,293.23002001492700,45.05336509063900,4258258647,27021597817688137,null
66667711,FALSE,FALSE,TRUE,TRUE,dr17,apo,56932,293.2541120213870,37.84615112407400,5372112249,27021598928360143,null
67659510,FALSE,FALSE,TRUE,TRUE,dr17,apo,56931,293.2608993936780,44.86886470976870,4258246595,27021597817676133,null
67122654,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,293.2624196234500,41.36501350189290,5374451554,27021598930693144,null
67660410,FALSE,FALSE,TRUE,TRUE,dr17,apo,56931,293.2815243242820,45.30965669923760,4258262703,27021597817692182,null
67689005,FALSE,FALSE,TRUE,TRUE,dr17,apo,55844,293.28223536256000,48.28591861655740,4260411912,27021597819833918,null
67131086,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,293.2880226154510,43.51490420361700,4257972391,27021597817402820,null
67122861,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,293.30027872066600,41.52332440738220,5374458739,27021598930700304,null
67119872,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,293.31829764335100,41.11667040273180,5374426239,27021598930667922,null
67126325,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,293.32241125136,42.86749331961500,4257890681,27021597817321346,null
67659470,FALSE,FALSE,TRUE,TRUE,dr17,apo,56931,293.3722096589810,44.78518152719210,4258241619,27021597817671177,null
67659465,FALSE,FALSE,TRUE,TRUE,dr17,apo,56931,293.4548434519780,44.792781277989200,4258241332,27021597817670890,null
67126179,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,293.46899245711600,42.82235665021890,4257885050,27021597817315737,null
67119911,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,293.4965901844020,41.13756231972990,5374428005,27021598930669683,null
67659722,FALSE,FALSE,TRUE,TRUE,dr17,apo,56931,293.5004951876330,44.93244544795140,4258251219,27021597817680733,null
67659804,FALSE,FALSE,TRUE,TRUE,dr17,apo,56931,293.5111914886060,45.136626155405500,4258259624,27021597817689112,null
67119998,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,293.5198274223050,41.27736545590140,5374452650,27021598930694232,null
67119907,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,293.52757847336600,41.11139264521760,5374427905,27021598930669583,null
67126285,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,293.5422575745560,43.02605396536780,4257901871,27021597817332513,null
67676883,FALSE,FALSE,TRUE,TRUE,dr17,apo,56931,293.5738933339900,45.38449086641290,4258297228,27021597817726573,null
67679947,FALSE,FALSE,TRUE,TRUE,dr17,apo,56931,293.5777961132760,46.73629536900730,4259307780,27021597818734698,null
67126221,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,293.5863885155630,42.928861179746600,4257886109,27021597817316791,null
67125063,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,293.6012912561780,42.37979063919790,5374575957,27021598930817140,null
67124911,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,293.6084198556290,42.197879815270600,5374569709,27021598930810911,null
67679650,FALSE,FALSE,TRUE,TRUE,dr17,apo,56931,293.619301211985,46.413403716227000,4259301288,27021597818728235,null
67119951,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,293.6260595675390,41.272799558742700,5374452945,27021598930694527,null
67677029,FALSE,FALSE,TRUE,TRUE,dr17,apo,56931,293.6297647432490,45.74062887756770,4258323694,27021597817752941,null
67126133,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,293.6369434297480,42.82482401215790,4257884596,27021597817315284,null
67659320,FALSE,FALSE,TRUE,TRUE,dr17,apo,56931,293.6413154355760,44.65706995561540,4258238750,27021597817668312,null
67680316,FALSE,FALSE,TRUE,TRUE,dr17,apo,56931,293.6441240194070,46.9896672603126,4260326899,27021597819749252,null
67679638,FALSE,FALSE,TRUE,TRUE,dr17,apo,56931,293.6688781245760,46.37923126259900,4259301145,27021597818728092,null
67120331,FALSE,FALSE,TRUE,TRUE,dr17,apo,56557,293.67044009072200,41.4102091292105,5374631264,27021598930872319,null
67120271,FALSE,FALSE,TRUE,TRUE,dr17,apo,56368,293.6755197170270,41.29520167110580,5374623885,27021599488815703,null
67659281,FALSE,FALSE,TRUE,TRUE,dr17,apo,56931,293.67646900938800,44.61559743988430,4258150876,27021597817580710,null
